gene,department
ADAMTS13,Proteolysis
ADAMTS14,Proteolysis
ADAMTS15,Proteolysis
ADAMTS16,Proteolysis
ADAMTS17,Proteolysis
ADAMTS18,Proteolysis
ADAMTS19,Proteolysis
ADAMTS2,Proteolysis
ADAMTS20,Proteolysis
ADAMTS3,Proteolysis
ADAMTS4,Proteolysis
ADAMTS5,Proteolysis
ADAMTS6,Proteolysis
ADAMTS7,Proteolysis
ADAMTS8,Transport
ADAMTS8,Proteolysis
ADAMTS9,Transport
ADAMTS9,Proteolysis
ADAMTSL4,Apoptosis
ADAP1,Signaling
ADAR,RNA processing
ADAR,Nuc acid bind
ADAR,Immune
ADARB1,RNA processing
ADARB1,Nuc acid bind
ADARB1,Immune
ADARB2,RNA processing
ADARB2,Nuc acid bind
ADAT1,RNA processing
ADAT1,Nuc acid bind
ADCY1,Signaling
ADCY10,Signaling
ADCY10,Apoptosis
ADCY2,Signaling
ADCY3,Signaling
ADCY4,Signaling
ADCY5,Signaling
ADCY6,Signaling
ADCY7,Signaling
ADCY8,Signaling
ADCY9,Signaling
ADCYAP1,Transcription
ADCYAP1R1,Signaling
ADD1,Nuc acid bind
ADD1,Cytoskeleton
ADD2,Structural
ADD3,Structural
ADD3,Cytoskeleton
ADGB,Proteolysis
ADGRA1,Signaling
ADGRA2,Signaling
ADGRA3,Signaling
ADGRB1,Signaling
ADGRB1,Immune
ADGRB1,Cell adhesion
ADGRB2,Signaling
ADGRB3,Signaling
ADGRD1,Signaling
ADGRD2,Signaling
ADGRE1,Signaling
ADGRE1,Cell adhesion
ADGRE2,Signaling
ADGRE2,Immune
ADGRE2,Cell adhesion
ADGRE3,Signaling
ADGRE4P,Signaling
ADGRE5,Signaling
ADGRE5,Immune
ADGRE5,Cell adhesion
ADGRF1,Signaling
ADGRF2P,Signaling
ADGRF3,Signaling
ADGRF4,Signaling
ADGRF5,Signaling
ADGRG1,Signaling
ADGRG1,Cell adhesion
ADGRG2,Signaling
ADGRG3,Signaling
ADGRG4,Signaling
ADGRG5,Signaling
ADGRG6,Signaling
ADGRG6,Proteolysis
ADGRG7,Signaling
ADGRL1,Signaling
ADGRL2,Signaling
ADGRL3,Signaling
ADGRL4,Signaling
ADGRV1,Signaling
ADIPOQ,Structural
ADIRF,Transcription
ADK,Nuc acid bind
ADM,Signaling
ADM,Immune
ADM2,Kinase
ADNP,Transcription
ADNP2,Transcription
ADORA1,Signaling
ADORA1,Immune
ADORA2A,Transcription
ADORA2A,Signaling
ADORA2A,Immune
ADORA2A,Apoptosis
ADORA2B,Signaling
ADORA3,Signaling
ADORA3,Immune
ADPRS,DNA repair
ADRA1A,Signaling
ADRA1A,Apoptosis
ADRA1B,Signaling
ADRA1D,Signaling
ADRA2A,Signaling
ADRA2B,Signaling
ADRA2C,Signaling
ADRB1,Signaling
ADRB2,Signaling
ADRB3,Signaling
AEBP1,Transcription
AEBP1,Proteolysis
AEBP1,Structural
AEBP2,Chromatin
AEBP2,Transcription
AEN,RNA processing
AEN,DNA repair
AEN,Nuc acid bind
AEN,Apoptosis
AFAP1L2,Immune
AFDN,Signaling
AFDN,Cell adhesion
AFF1,Transcription
AFF2,Transcription
AFF2,RNA processing
AFF2,Nuc acid bind
AFF3,Transcription
AFF4,Transcription
AFG3L2,Proteolysis
AFG3L2,Protein folding
AGA,Proteolysis
AGAP1,GTPase
AGAP11,GTPase
AGAP2,GTPase
AGAP3,GTPase
AGAP4,GTPase
AGAP5,GTPase
AGAP6,GTPase
AGAP7P,GTPase
AGAP9,GTPase
AGBL1,Proteolysis
AGBL2,Proteolysis
AGBL3,Proteolysis
AGBL4,Proteolysis
AGBL5,Proteolysis
AGER,Signaling
AGER,DNA repair
AGER,Nuc acid bind
AGER,Immune
AGFG1,Nuc acid bind
AGGF1,Nuc acid bind
AGGF1,Cell adhesion
AGO1,Transcription
AGO1,Nuc acid bind
AGO2,Transcription
AGO2,Nuc acid bind
AGO2,Translation
AGO3,Nuc acid bind
AGO4,Nuc acid bind
AGR2,Immune
AGRN,Transcription
AGRN,Signaling
AGRN,Structural
AGRN,Cytoskeleton
AGTPBP1,Proteolysis
AGTR1,Signaling
AGTR1,Immune
AGTR2,Signaling
AGTR2,Immune
AHCTF1,Cell cycle
AHCYL1,Nuc acid bind
AHCYL1,Apoptosis
AHDC1,Transcription
AHI1,Transcription
AHI1,Transport
AHNAK,Nuc acid bind
AHR,Transcription
AHR,Apoptosis
AHRR,Transcription
AHSA1,Protein folding
AHSA2P,Protein folding
AHSP,Protein folding
AICDA,RNA processing
AICDA,Nuc acid bind
AIF1,Immune
AIFM1,Apoptosis
AIFM2,Apoptosis
AIFM3,Apoptosis
AIM2,DNA repair
AIM2,Immune
AIMP1,Signaling
AIMP1,Nuc acid bind
AIMP1,Immune
AIMP1,Apoptosis
AIMP1,Translation
AIMP2,Apoptosis
AIMP2,Translation
AIP,Protein folding
AIPL1,Protein folding
AIRE,Transcription
AIRE,Immune
AJAP1,Cell adhesion
AJUBA,Transcription
AJUBA,Cell adhesion
AJUBA,Cytoskeleton
AKAP1,Nuc acid bind
AKAP1,Apoptosis
AKAP10,Signaling
